iter	Passed	Remaining
0	0	89
1	1	88
2	2	85
3	3	77
4	3	73
5	4	70
6	5	69
7	5	67
8	6	66
9	7	65
10	7	64
11	8	64
12	9	63
13	10	63
14	11	62
15	11	62
16	12	61
17	13	60
18	14	59
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	18	53
26	19	52
27	20	51
28	20	51
29	21	50
30	22	49
31	22	48
32	23	48
33	24	47
34	25	47
35	25	46
36	26	45
37	27	44
38	28	44
39	29	43
40	29	42
41	30	41
42	30	40
43	31	40
44	32	39
45	32	38
46	33	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	40	31
56	40	30
57	41	29
58	42	29
59	42	28
60	43	27
61	44	26
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	18
73	52	18
74	53	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	61	9
87	62	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	70	0
