iter	Passed	Remaining
0	74	74360
1	75	37745
2	76	25526
3	77	19285
4	78	15538
5	78	13039
6	79	11253
7	79	9911
8	80	8882
9	81	8058
10	82	7378
11	82	6811
12	83	6329
13	83	5912
14	84	5551
15	85	5235
16	85	4956
17	86	4713
18	87	4495
19	87	4297
20	88	4119
21	88	3956
22	89	3806
23	90	3667
24	90	3540
25	91	3422
26	91	3311
27	92	3212
28	93	3126
29	94	3040
30	94	2958
31	95	2881
32	95	2809
33	96	2740
34	97	2675
35	97	2613
36	98	2555
37	98	2503
38	99	2458
39	100	2411
40	101	2366
41	101	2321
42	102	2278
43	102	2237
44	103	2197
45	104	2159
46	104	2124
47	105	2094
48	106	2063
49	107	2035
50	107	2006
51	108	1976
52	109	1949
53	109	1923
54	110	1898
55	111	1876
56	112	1853
57	112	1829
58	113	1807
59	113	1785
60	114	1763
61	115	1742
62	115	1722
63	116	1704
64	117	1686
65	117	1669
66	118	1651
67	119	1634
68	119	1617
69	120	1600
70	121	1583
71	121	1567
72	122	1551
73	122	1537
74	123	1524
75	124	1511
76	125	1498
77	125	1486
78	126	1472
79	126	1460
80	127	1447
81	128	1434
82	128	1419
83	129	1411
84	130	1401
85	130	1390
86	131	1380
87	132	1370
88	132	1359
89	133	1348
90	134	1338
91	134	1328
92	135	1319
93	136	1318
94	137	1309
95	138	1301
96	140	1306
97	141	1300
98	142	1298
99	143	1294
100	144	1287
101	145	1280
102	147	1286
103	149	1284
104	150	1282
105	151	1276
106	152	1270
107	153	1269
108	154	1264
109	158	1280
110	159	1277
111	160	1274
112	163	1286
113	166	1296
114	168	1293
115	168	1286
116	169	1278
117	170	1270
118	170	1263
119	171	1255
120	171	1248
121	172	1242
122	173	1236
123	174	1229
124	174	1223
125	175	1216
126	176	1209
127	176	1203
128	177	1197
129	177	1191
130	178	1184
131	179	1178
132	179	1172
133	180	1166
134	181	1161
135	181	1155
136	182	1150
137	183	1145
138	184	1140
139	184	1136
140	185	1131
141	186	1125
142	186	1119
143	187	1114
144	188	1109
145	188	1104
146	189	1099
147	190	1094
148	190	1089
149	191	1085
150	192	1081
151	192	1076
152	193	1071
153	194	1066
154	194	1062
155	195	1057
156	196	1053
157	196	1049
158	197	1044
159	198	1040
160	198	1034
161	199	1030
162	199	1026
163	200	1022
164	201	1017
165	201	1013
166	202	1009
167	203	1007
168	204	1005
169	205	1002
170	205	998
171	206	994
172	207	990
173	207	987
174	208	983
175	209	979
176	210	976
177	210	973
178	211	970
179	212	966
180	212	963
181	213	960
182	214	956
183	214	953
184	215	949
185	216	946
186	218	949
187	219	949
188	220	945
189	221	942
190	221	939
191	222	936
192	223	933
193	224	930
194	224	928
195	225	925
196	226	922
197	227	920
198	228	917
199	228	915
200	229	912
201	230	909
202	230	906
203	231	903
204	232	900
205	233	898
206	233	895
207	234	893
208	235	891
209	236	889
210	237	887
211	238	885
212	239	883
213	239	881
214	240	878
215	241	876
216	242	875
217	243	873
218	244	871
219	245	870
220	246	867
221	247	866
222	248	864
223	248	862
224	249	859
225	250	857
226	250	854
227	251	851
228	252	849
229	252	846
230	253	844
231	254	842
232	255	839
233	255	836
234	256	833
235	256	831
236	257	828
237	258	826
238	258	823
239	259	821
240	260	819
241	260	817
242	261	814
243	261	811
244	262	809
245	263	807
246	264	805
247	265	803
248	265	801
249	266	799
250	266	796
251	267	794
252	268	791
253	268	789
254	269	786
255	269	784
256	270	781
257	270	779
258	271	776
259	272	774
260	272	771
261	273	769
262	273	767
263	274	765
264	274	762
265	275	760
266	276	757
267	276	755
268	277	753
269	277	751
270	278	749
271	279	746
272	279	744
273	280	742
274	280	740
275	281	738
276	282	736
277	282	734
278	283	732
279	284	730
280	285	729
281	285	727
282	286	725
283	286	723
284	287	721
285	288	719
286	288	716
287	289	714
288	289	712
289	290	710
290	290	708
291	291	706
292	291	704
293	292	702
294	292	700
295	293	698
296	294	696
297	294	694
298	295	692
299	296	691
300	296	689
301	297	687
302	298	686
303	298	684
304	299	682
305	299	680
306	300	678
307	300	676
308	301	674
309	302	672
310	302	670
311	303	668
312	303	666
313	304	664
314	304	662
315	305	660
316	305	659
317	306	657
318	306	655
319	307	653
320	308	651
321	308	649
322	309	648
323	309	646
324	310	644
325	310	642
326	311	641
327	312	639
328	312	637
329	313	636
330	313	634
331	314	632
332	315	631
333	315	629
334	316	627
335	316	626
336	317	624
337	318	622
338	318	621
339	319	619
340	320	618
341	320	617
342	321	615
343	322	614
344	322	613
345	323	611
346	324	610
347	325	609
348	325	607
349	326	606
350	327	604
351	327	603
352	328	602
353	329	600
354	329	599
355	330	598
356	331	596
357	331	595
358	332	593
359	333	592
360	334	591
361	334	590
362	335	588
363	336	587
364	336	586
365	337	584
366	338	583
367	338	581
368	339	580
369	340	579
370	342	580
371	343	580
372	346	582
373	349	584
374	350	584
375	352	584
376	354	585
377	355	585
378	357	585
379	358	585
380	359	584
381	360	583
382	361	581
383	361	580
384	362	578
385	363	577
386	364	576
387	364	575
388	365	574
389	366	573
390	367	571
391	367	570
392	368	568
393	369	567
394	369	566
395	370	564
396	371	563
397	371	562
398	372	560
399	373	559
400	373	558
401	374	557
402	375	555
403	375	554
404	376	553
405	377	552
406	378	550
407	378	549
408	379	548
409	380	546
410	380	545
411	381	544
412	382	543
413	383	542
414	384	541
415	384	540
416	385	539
417	386	537
418	386	536
419	387	535
420	388	533
421	388	532
422	389	531
423	390	530
424	390	528
425	391	527
426	392	526
427	392	525
428	393	523
429	394	522
430	394	521
431	395	520
432	396	519
433	397	518
434	397	516
435	398	515
436	399	514
437	399	513
438	400	511
439	401	510
440	401	509
441	402	508
442	403	507
443	404	505
444	404	504
445	405	503
446	405	502
447	406	500
448	407	499
449	407	498
450	408	497
451	409	496
452	410	495
453	410	493
454	411	492
455	411	491
456	412	490
457	413	489
458	414	488
459	414	487
460	415	485
461	416	484
462	417	483
463	417	482
464	418	481
465	419	480
466	420	479
467	421	478
468	421	477
469	422	476
470	422	474
471	423	473
472	424	472
473	424	471
474	425	470
475	425	468
476	426	467
477	427	466
478	427	465
479	428	464
480	429	463
481	429	461
482	430	460
483	430	459
484	431	458
485	432	457
486	432	455
487	433	454
488	434	453
489	435	452
490	435	451
491	436	450
492	436	449
493	437	447
494	437	446
495	438	445
496	439	444
497	439	443
498	440	442
499	441	441
500	441	440
501	442	438
502	442	437
503	443	436
504	444	435
505	444	434
506	445	433
507	446	431
508	446	430
509	447	429
510	447	428
511	448	427
512	449	426
513	449	425
514	450	424
515	451	423
516	452	422
517	453	421
518	453	420
519	454	419
520	455	418
521	455	417
522	456	416
523	457	415
524	458	414
525	458	413
526	459	412
527	460	411
528	460	410
529	461	409
530	461	407
531	462	406
532	463	405
533	463	404
534	464	403
535	465	402
536	465	401
537	466	400
538	466	399
539	467	398
540	467	397
541	468	395
542	469	394
543	469	393
544	470	392
545	471	391
546	471	390
547	472	389
548	472	388
549	473	387
550	474	386
551	474	385
552	475	384
553	475	383
554	476	382
555	477	381
556	477	380
557	478	379
558	479	378
559	479	376
560	480	375
561	480	374
562	481	373
563	482	372
564	482	371
565	483	370
566	484	369
567	484	368
568	485	367
569	485	366
570	486	365
571	487	364
572	487	363
573	488	362
574	489	361
575	489	360
576	490	359
577	490	358
578	491	357
579	492	356
580	492	355
581	493	354
582	493	353
583	494	352
584	495	351
585	496	350
586	496	349
587	497	348
588	498	347
589	498	346
590	499	345
591	500	344
592	500	343
593	501	342
594	502	341
595	502	340
596	503	339
597	504	339
598	504	338
599	505	337
600	506	336
601	506	335
602	507	334
603	508	333
604	509	332
605	509	331
606	510	330
607	511	329
608	511	328
609	512	327
610	512	326
611	513	325
612	514	324
613	515	324
614	516	323
615	516	322
616	517	321
617	518	320
618	518	319
619	519	318
620	520	317
621	521	316
622	521	315
623	522	314
624	523	313
625	523	312
626	524	311
627	524	310
628	525	310
629	526	309
630	526	308
631	527	307
632	528	306
633	528	305
634	529	304
635	530	303
636	530	302
637	531	301
638	532	300
639	532	299
640	533	298
641	534	297
642	534	296
643	535	296
644	536	295
645	536	294
646	537	293
647	537	292
648	538	291
649	539	290
650	539	289
651	540	288
652	541	287
653	541	286
654	542	285
655	542	284
656	543	283
657	544	282
658	544	281
659	545	280
660	545	280
661	546	279
662	547	278
663	547	277
664	548	276
665	549	275
666	549	274
667	550	273
668	550	272
669	551	271
670	552	270
671	553	269
672	553	269
673	554	268
674	554	267
675	555	266
676	556	265
677	556	264
678	557	263
679	557	262
680	558	261
681	559	260
682	560	260
683	560	259
684	561	258
685	562	257
686	562	256
687	563	255
688	564	254
689	564	253
690	565	252
691	566	251
692	566	251
693	567	250
694	568	249
695	568	248
696	569	247
697	569	246
698	570	245
699	571	244
700	572	244
701	572	243
702	573	242
703	573	241
704	574	240
